id,user_id,nome_escola,proprietario,endereco_completo,numero,bairro,macroregiao,telefone_fixo,telefone_celular,created_at,updated_at,tipo_escola,email,alunos_creche,alunos_infantil,alunos_fundamental_i,alunos_fundamental_ii
,a90b0633-b4d5-46b8-929c-50d0dfee9934,A BELA ADORMECIDA EM,SME RIO PRETO,Praça Ugolino Ugolini,48,Vila Maceno,Central,(17) 3224-8288,(17) 98165-0775,,,EMEI,bela@educacao.riopreto.sp.gov.br,11,75,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ADELAIDE KAUAM MEDINA EM,SME RIO PRETO,Rua Luiz Lourenço,105,Parque das Aroeiras II,Cidade da Criança,(17) 3231-4964,(17) 98165-0048,,,EMEI,adelaide.kauam@educacao.riopreto.sp.gov.br,137,173,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ADELÍCIO TEODORO DR EM,SME RIO PRETO,Rua Eduardo Macedo Ribas,505,Jardim Nunes,Céu,(17) 3217-2272,(17) 98165-0636,,,EMEI,adelicio@educacao.riopreto.sp.gov.br,182,168,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ADHERBAL ABRÃO DOS SANTOS PROF EM,SME RIO PRETO,Rua Victório Antonio Menezello,710,Jardim Maracanã,HB,(17) 3227-0986,(17) 98165-0811,,,EMEF,adherbal@educacao.riopreto.sp.gov.br,,,236,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,AGOSTINHO BRANDI PROF EM,SME RIO PRETO,Rua Professor José Arroyo Filho,210,Cristo Rei,Vila Toninho,(17) 3238-4703,(17) 98165-0794,,,EMEI,agostinho.brandi@educacao.riopreto.sp.gov.br,,87,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ALBERTO JOSÉ ISMAEL PROF EM,SME RIO PRETO,Rua Engenheiro José Henrique Duarte,339,Quinta das Paineiras,HB,(17) 3227-5877,(17) 98165-0735,,,EMEIF,alberto.ismael@educacao.riopreto.sp.gov.br,,89,207,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,ALVARO LUIZ ANGELONI EM,SME RIO PRETO,Rua Jackeline de Freitas do Prado,420,Parque Residencial da Lealdade,Talhado,(17) 3229-7605,(17) 98165-0049,,,EMEF,alvaro.angeloni@educacao.riopreto.sp.gov.br,,,496,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,AMÁLIA SENIR LISBOA PONTES GESTAL PROFA EM,SME RIO PRETO,Rua Francisco Sinezando Júnior,S/Nº,Romano Calil,Vila Toninho,(17) 3218-1633,(17) 98165-0073,,,EMEI,amalia@educacao.riopreto.sp.gov.br,,72,,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,AMAURY DE ASSIS FERREIRA PROF EM,SME RIO PRETO,Rua Jamil Kfouri,1035,Macedo Teles,Cidade da Criança,(17) 3236-7633,(17) 98165-0096,,,EMEF,amaury@educacao.riopreto.sp.gov.br,,,480,
,a90b0633-b4d5-46b8-929c-50d0dfee9934,AMELIA BALBO SACCHETIN EEI,SME RIO PRETO,Av Antonio Marcos de Oliveira,3250,Jardim das Oliveiras,Pinheirinho,(17) 3236-7900,NULL,,,EMEI,amelia@educacao.riopreto.sp.gov.br,208,,,
